id,date,link,categories,authorship,tags,unique_entities,author.name,time_step,sentiment_score,article_title,cleaned_titles,topic,month
1542619,2022-01-01 12:59:53,https://www.rappler.com/business/bohol-starts-2022-needed-electricity-water-aid/,"[621, 624, 701]",[2573],"[1263, 2814, 2290]","['Typhoon Odette', 'Arthur Yap']",,0,0.0558585858585858,bohol-starts-2022-needed-electricity-water-aid,"['bohol', 'start', 'needed', 'electricity', 'water', 'aid']",russian_ukraine_war,2022-01
1543036,2022-01-01 19:54:55,https://www.rappler.com/business/turkey-lira-currency-performance-2021/,"[621, 622]",[5083],"[2625, 1870, 1235]","['Marek Drimal', 'Nureddin Nebati', 'Tayyip Erdogan']",,0,0.0077104076479076,turkey-lira-currency-performance-2021,"['turkey', 'lira', 'currency', 'performance']",inflation,2022-01
1543064,2022-01-01 20:29:57,https://www.rappler.com/business/indonesia-bans-coal-exports-january-2022/,"[621, 622, 624]",[5083],"[2716, 1141, 2290]","['Ridwan Jamaludin', 'Perusahaan Listrik Negara', 'Ahmad Zuhdi Dwi Kusuma', 'Putera Satria']",,0,-0.0149122807017543,indonesia-bans-coal-exports-january-2022,"['indonesia', 'ban', 'coal', 'export', 'january']",uk_bugdet_unemployment,2022-01
1543150,2022-01-02 11:34:10,https://www.rappler.com/business/department-trade-industry-cracks-down-profiteers-hoarders-affected-areas-typhoon-odette/,"[621, 628, 622]",[4270],"[3029, 2802]","['Ramon Lopez', 'Rodrigo Duterte', 'Typhoon Odette']",Michelle Abad,0,-0.0253357438016528,department-trade-industry-cracks-down-profiteers-hoarders-affected-areas-typhoon-odette,"['department', 'trade', 'industry', 'crack', 'profiteer', 'hoarder', 'affected', 'area', 'typhoon', 'odette']",covid,2022-01
1544290,2022-01-03 21:00:57,https://www.rappler.com/business/indonesia-miners-seek-solution-coal-export-ban-rattles-sector/,"[621, 624]",[5083],"[2716, 1141, 2648]","['Perusahaan Listrik Negara', 'Puneet Gupta', 'Sri Mulyani Indrawati', 'Matt Warder', 'Riya Vyas', 'Pandu Sjahrir', 'Joko Widodo']",,0,0.0048795535530229,indonesia-miners-seek-solution-coal-export-ban-rattles-sector,"['indonesia', 'miner', 'seek', 'solution', 'coal', 'export', 'ban', 'rattle', 'sector']",uk_bugdet_unemployment,2022-01
1545021,2022-01-04 22:30:31,https://www.rappler.com/business/indonesia-secures-more-coal-supplies-january-4-2022/,"[621, 622, 624]",[5083],"[2716, 1141, 2290]","['Perusahaan Listrik Negara', 'Sabrin Chowdhury', 'Pandu Sjahrir', 'Rory Simington', 'Joko Widodo']",,0,0.0393132716049382,indonesia-secures-more-coal-supplies-january-4-2022,"['indonesia', 'secures', 'coal', 'supply', 'january']",uk_bugdet_unemployment,2022-01
1545089,2022-01-05 09:20:18,https://www.rappler.com/business/inflation-rate-philippines-december-2021/,"[621, 622]",[4952],"[297, 167]","['Rodrigo Duterte', 'Benjamin Diokno', 'Karl Chua', 'Dennis Mapa']",Ralf Rivas,0,0.1034090909090909,inflation-rate-philippines-december-2021,"['inflation', 'rate', 'philippine', 'december']",inflation,2022-01
1545338,2022-01-05 13:25:04,https://www.rappler.com/business/united-states-auto-sales-toyota-general-motors-2021/,"[621, 625, 624]",[5083],"[2191, 2665]","['Jim Cain', 'Mary Barra', 'Randy Parker', 'Jack Hollis']",,0,0.0891524216524216,united-states-auto-sales-toyota-general-motors-2021,"['united', 'state', 'auto', 'sale', 'toyota', 'general', 'motor']",global_market,2022-01
1545375,2022-01-05 13:40:06,https://www.rappler.com/business/imf-delays-release-world-economic-outlook-january-2022-covid-19/,"[621, 622]",[5083],"[1416, 1870, 2394, 15956]","['Kristalina Georgieva', 'Gerry Rice', 'Joe Biden']",,0,0.0495936639118457,imf-delays-release-world-economic-outlook-january-2022-covid-19,"['imf', 'delay', 'release', 'world', 'economic', 'outlook', 'january', 'covid']",inflation,2022-01
1545834,2022-01-05 21:49:59,https://www.rappler.com/business/indonesia-talks-coal-exports-postponed-ships-limbo-january-5-2022/,"[621, 622, 624]",[5083],"[2716, 1141, 2290]","['Perusahaan Listrik Negara', 'Erick Thohir', 'Muhammad Lutfi', 'Bukit Asam', 'Joko Widodo']",,0,0.0632171717171717,indonesia-talks-coal-exports-postponed-ships-limbo-january-5-2022,"['indonesia', 'talk', 'coal', 'export', 'postponed', 'ship', 'limbo', 'january']",uk_bugdet_unemployment,2022-01
1545857,2022-01-05 22:09:48,https://www.rappler.com/business/taiwan-set-up-fund-invest-lithuania-amid-china-dispute/,"[621, 622]",[5083],"[2551, 2666, 3263, 1536]","['Eric Huang', 'Tseng Hou jen']",,0,0.0994517543859649,taiwan-set-up-fund-invest-lithuania-amid-china-dispute,"['taiwan', 'set', 'fund', 'invest', 'lithuania', 'amid', 'china', 'dispute']",covid,2022-01
1546277,2022-01-06 13:39:48,https://www.rappler.com/business/allegiant-air-buys-new-boeing-737-max-jets-january-2022/,"[621, 625]",[5083],[2487],"['Greg Anderson', 'Colin Scarola', 'Raymond James', 'Sheila Kahyaoglu']",,0,0.1701877470355731,allegiant-air-buys-new-boeing-737-max-jets-january-2022,"['allegiant', 'air', 'buy', 'new', 'boeing', 'max', 'jet', 'january']",airlines,2022-01
